Jean-Luc Vasseur, 451, <a href='http://en.wikipedia.org/wiki/Jean-Luc_Vasseur'>Jean-Luc Vasseur</a>
Just Fontaine, 449, <a href='http://en.wikipedia.org/wiki/Just_Fontaine'>Just Fontaine</a>
Gaëtane Thiney, 449, <a href='http://en.wikipedia.org/wiki/Ga%C3%ABtane_Thiney'>Gaëtane Thiney</a>
Cédric Si Mohamed, 449, <a href='http://en.wikipedia.org/wiki/C%C3%A9dric_Si_Mohamed'>Cédric Si Mohamed</a>
Ryad Boudebouz, 446, <a href='http://en.wikipedia.org/wiki/Ryad_Boudebouz'>Ryad Boudebouz</a>
Mickaël Le Bihan, 446, <a href='http://en.wikipedia.org/wiki/Micka%C3%ABl_Le_Bihan'>Mickaël Le Bihan</a>
Damien Da Silva, 446, <a href='http://en.wikipedia.org/wiki/Damien_Da_Silva'>Damien Da Silva</a>
Christian Gourcuff, 446, <a href='http://en.wikipedia.org/wiki/Christian_Gourcuff'>Christian Gourcuff</a>
Joël Thomas, 445, <a href='http://en.wikipedia.org/wiki/Deadmau5'>deadmau5</a>
Alou Diarra, 445, <a href='http://en.wikipedia.org/wiki/Alou_Diarra'>Alou Diarra</a>
Jean-Claude Suaudeau, 444, <a href='http://en.wikipedia.org/wiki/Jean-Claude_Suaudeau'>Jean-Claude Suaudeau</a>
Christophe Jallet, 444, <a href='http://en.wikipedia.org/wiki/Christophe_Jallet'>Christophe Jallet</a>
Pierre-Yves Polomat, 443, <a href='http://en.wikipedia.org/wiki/Pierre-Yves_Polomat'>Pierre-Yves Polomat</a>
Mario Lemina, 443, <a href='http://en.wikipedia.org/wiki/Mario_Lemina'>Mario Lemina</a>
